Date,Open,High,Low,Close,Adj Close,Volume
2020/10/30,70.800003,71.489998,66.849998,67.470001,67.470001,7070500
2020/11/2,68.019997,68.599998,66.550003,67.110001,67.110001,4650300
2020/11/3,66.75,69.25,66.589996,69.080002,69.080002,4366900
2020/11/4,68.970001,71.550003,68.918999,69.809998,69.809998,5442100
2020/11/5,71.089996,71.589996,70.160004,71.480003,71.480003,4449900
2020/11/6,71.419998,74.160004,70.870003,72.449997,72.449997,5841000
2020/11/9,77.75,80.25,75.419998,77.739998,77.739998,20266800
2020/11/10,80,80.379997,73.519997,76.050003,76.050003,10499400
2020/11/11,77.050003,83.980003,76.129997,82.440002,82.440002,18576500
2020/11/12,85.18,87.93,83.830002,87.809998,87.809998,21700100
2020/11/13,86.620003,90.529999,85.220001,89.389999,89.389999,14121100
2020/11/16,100.309998,103.199997,93.300003,97.949997,97.949997,70853100
2020/11/17,97.230003,97.800003,91.599998,93.150002,93.150002,26172000
2020/11/18,93.870003,94,88.610001,88.889999,88.889999,21823500
2020/11/19,90,94.650002,89.511002,92.769997,92.769997,16002000
2020/11/20,95,98.43,94.82,97.610001,97.610001,15239000
2020/11/23,100.769997,101.769997,98.620003,101.029999,101.029999,16359600
2020/11/24,98.400002,99.889999,93.540001,98.559998,98.559998,12515300
2020/11/25,99.029999,109.290001,98.650002,109.18,109.18,24818300
